ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60629,41,10/10/2021,10/16/2021,65,18770,58,16781.4,4216,187536,3769,167667.4,0.0,0.1,1,278,0.9,248.5,111850,60629-2021-41,POINT (-87.711565 41.777061)
60629,42,10/17/2021,10/23/2021,65,18835,58,16839.5,4942,192478,4418,172085.8,0.0,0.1,1,279,0.9,249.4,111850,60629-2021-42,POINT (-87.711565 41.777061)
60630,21,05/17/2020,05/23/2020,88,723,154,1260.8,609,3446,1062,6009.3,0.2,0.2,12,42,20.9,73.2,57344,60630-2020-21,POINT (-87.759611 41.971261)
60630,22,05/24/2020,05/30/2020,52,775,91,1351.5,608,4054,1060,7069.6,0.1,0.2,4,46,7.0,80.2,57344,60630-2020-22,POINT (-87.759611 41.971261)
60629,49,12/05/2021,12/11/2021,227,19871,203,17765.8,6833,232765,6109,208104.6,0.0,0.1,3,291,2.7,260.2,111850,60629-2021-49,POINT (-87.711565 41.777061)
60629,52,12/26/2021,01/01/2022,2209,23634,1975,21130.1,10017,256757,8956,229554.8,0.2,0.1,3,302,2.7,270.0,111850,60629-2021-52,POINT (-87.711565 41.777061)
60629,5,01/31/2021,02/06/2021,132,15657,118,13998.2,2006,95038,1794,84969.2,0.1,0.2,4,227,3.6,203.0,111850,60629-2021-5,POINT (-87.711565 41.777061)
60629,43,10/24/2021,10/30/2021,65,18900,58,16897.6,5067,197545,4530,176616,0.0,0.1,2,281,1.8,251.2,111850,60629-2021-43,POINT (-87.711565 41.777061)
60629,44,10/31/2021,11/06/2021,91,18991,81,16979,5515,203060,4931,181546.7,0.0,0.1,2,283,1.8,253.0,111850,60629-2021-44,POINT (-87.711565 41.777061)
60629,45,11/07/2021,11/13/2021,100,19091,89,17068.4,5131,208191,4587,186134.1,0.0,0.1,3,286,2.7,255.7,111850,60629-2021-45,POINT (-87.711565 41.777061)
60629,46,11/14/2021,11/20/2021,177,19268,158,17226.6,6083,214274,5438,191572.6,0.0,0.1,1,287,0.9,256.6,111850,60629-2021-46,POINT (-87.711565 41.777061)
